room_id,room_no,room_name,room_size,room_gender,room_branch,room_type_id
1,1,Room 1,50,مختلط,دير البلح,1
2,2,Room 2,50,مختلط,دير البلح,1
3,3,Room 3,50,مختلط,دير البلح,1
4,4,Room 4,50,مختلط,دير البلح,1
5,5,Room 5,50,مختلط,دير البلح,1
6,6,Room 6,50,مختلط,دير البلح,1
7,7,Room 7,50,مختلط,دير البلح,1
8,8,Room 8,50,مختلط,دير البلح,1
9,9,Room 9,50,مختلط,دير البلح,1
10,10,Room 10,50,مختلط,دير البلح,1
11,11,Room 11 ,50,مختلط,دير البلح,1
12,12,Room 12,50,مختلط,دير البلح,1
13,13,Room 13,50,مختلط,دير البلح,1
14,14,Room 14,50,مختلط,دير البلح,1
15,15,Room 15,50,مختلط,دير البلح,1
17,17,Lab 310,25,مختلط,دير البلح,2
18,18,Lab 311,25,مختلط,دير البلح,2
19,19,Lab 312,25,مختلط,دير البلح,2
20,20,Lab 220,25,مختلط,دير البلح,2
21,21,Lab 221,25,مختلط,دير البلح,2
22,22,Lab 222,25,مختلط,دير البلح,2
23,23,Lab 223,25,مختلط,دير البلح,2
24,24,Lab 102,25,مختلط,دير البلح,2
25,25,Lab 101,25,مختلط,دير البلح,2
26,26,Lab 313,25,مختلط,دير البلح,2
27,27,مختبر التداخل,25,مختلط,دير البلح,3
28,28,مختبر الإلكترونيات,25,مختلط,دير البلح,4
29,29,مختبر الكهرباء,25,مختلط,دير البلح,5
30,30,مختبر الصيانة,25,مختلط,دير البلح,6
31,31,مختبر الاتصالات,25,مختلط,دير البلح,7
32,32,مختبر الفيزياء,25,مختلط,دير البلح,8
33,33,مختبر التبريد,25,مختلط,دير البلح,9
34,34,مختبر التحكم المنطقي PLC,25,مختلط,دير البلح,10
35,35,مختبر الطاقة الشمسية,25,مختلط,دير البلح,11
36,36,مختبر الأزياء Fash 1,25,مختلط,دير البلح,12
37,37,مختبر الأزياء Fash 2,25,مختلط,دير البلح,12
38,38,مختبر الأستديو الإذاعي,25,مختلط,دير البلح,13
39,39,مختبر الاستديو التلفزيوني,25,مختلط,دير البلح,14
40,40,مختبر الإيواء,25,مختلط,دير البلح,15
41,41,مختبر الطعام,25,مختلط,دير البلح,16
